vnum,volcano_name,region,latitude,longitude,elevation_meters,is_monitored,nvews_threat,threat_score,alert_level,color_code,alert_score,color_score,obs_abbr,obs_fullname,volcano_url,volcano_image_url,hans_url,eq_count_30d,eq_max_mag_30d,eq_avg_mag_30d,eq_avg_depth_km,eq_shallow_count,composite_risk_score
284201,East Diamante,Northern Mariana Islands,15.93,145.67,-127,False,Moderate Threat,3,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/east-diamante,,,0,0.0,0.0,0.0,0,15.0
284140,Farallon de Pajaros,Northern Mariana Islands,20.53,144.9,360,False,Moderate Threat,3,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/farallon-de-pajaros,https://volcanoes.usgs.gov/vsc/images/farallon_de_pajaros/Farallon_de_Pajaros-home.jpg,,0,0.0,0.0,0.0,0,15.0
284190,Guguan,Northern Mariana Islands,17.32,145.85,287,False,Moderate Threat,3,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/guguan,https://volcanoes.usgs.gov/vsc/images/guguan/Guguan-home.jpg,,0,0.0,0.0,0.0,0,15.0
284192,Sarigan,Northern Mariana Islands,16.708,145.78,538,False,Moderate Threat,3,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/sarigan,https://volcanoes.usgs.gov/vsc/images/sarigan/sarigan-home.jpg,,0,0.0,0.0,0.0,0,15.0
327050,Black Rock Desert volcanic field,Utah,38.97,-112.5,1800,False,Moderate Threat,3,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/black-rock-desert-volcanic-field,https://volcanoes.usgs.gov/vsc/images/black_rock_desert/BlackRockDesert-home.jpg,,0,0.0,0.0,0.0,0,15.0
328010,Dotsero Volcanic Center,Colorado,39.65,-107.03,2230,False,Moderate Threat,3,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/dotsero-volcanic-center,https://volcanoes.usgs.gov/vsc/images/dotsero/Dotsero-home.jpg,,0,0.0,0.0,0.0,0,15.0
329020,San Francisco Volcanic Field,Arizona,35.37,-111.5,2447,False,Moderate Threat,3,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/san-francisco-volcanic-field,https://volcanoes.usgs.gov/vsc/images/san_francisco_field/SanFranciscoVolcanicField-Aster.jpg,,0,0.0,0.0,0.0,0,15.0
327817,Valles Caldera,New Mexico,35.87,-106.57,3430,False,Moderate Threat,3,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/valles-caldera,https://volcanoes.usgs.gov/vsc/images/valles_caldera/Vallecaldera_NASA_2002142.jpg,,0,0.0,0.0,0.0,0,15.0
311100,Bobrof,Alaska - Aleutians,51.9072,-177.4409,738,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Bobrof,https://avo.alaska.edu/images/dbimages/display/1161976754_50_3.JPG,,0,0.0,0.0,0.0,0,10.0
311010,Buldir,Alaska - Aleutians,52.3488,175.909,656,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Buldir,https://avo.alaska.edu/images/dbimages/display/1125340112_48_3.jpg,,0,0.0,0.0,0.0,0,10.0
