date,bird flu,mpox,cholera,dengue,measles,isPartial
2024-12-29,17,1,2,14,2,False
2025-01-05,13,4,2,16,3,False
2025-01-12,6,1,2,16,3,False
2025-01-19,8,2,2,17,3,False
2025-01-26,14,1,2,17,4,False
2025-02-02,13,1,2,17,4,False
2025-02-09,14,1,2,18,8,False
2025-02-16,12,1,2,21,16,False
2025-02-23,9,1,2,20,48,False
2025-03-02,7,2,2,18,35,False
2025-03-09,5,3,2,19,29,False
2025-03-16,4,1,2,21,21,False
2025-03-23,3,1,2,20,19,False
2025-03-30,2,1,2,20,16,False
2025-04-06,2,1,2,19,26,False
2025-04-13,2,1,2,19,15,False
2025-04-20,2,1,2,19,14,False
2025-04-27,2,4,2,19,13,False
2025-05-04,1,2,2,18,12,False
2025-05-11,1,1,2,17,10,False
2025-05-18,1,1,2,16,10,False
2025-05-25,1,7,2,15,9,False
2025-06-01,1,4,2,14,10,False
2025-06-08,1,2,2,13,8,False
2025-06-15,1,2,2,12,7,False
2025-06-22,1,1,2,12,8,False
2025-06-29,1,1,2,12,6,False
2025-07-06,1,1,2,12,9,False
2025-07-13,1,1,2,12,10,False
2025-07-20,1,1,8,12,6,False
2025-07-27,1,1,2,13,6,False
2025-08-03,1,1,2,14,6,False
2025-08-10,1,1,2,16,6,False
2025-08-17,1,1,2,17,6,False
2025-08-24,1,1,2,16,6,False
2025-08-31,1,1,2,16,8,False
2025-09-07,1,1,2,15,7,False
2025-09-14,1,1,2,15,7,False
2025-09-21,1,1,2,16,7,False
2025-09-28,1,2,2,15,7,False
2025-10-05,1,1,2,16,7,False
2025-10-12,1,1,2,16,8,False
2025-10-19,1,2,2,16,6,False
2025-10-26,1,1,2,15,7,False
2025-11-02,2,1,2,16,6,False
2025-11-09,2,1,3,15,9,False
2025-11-16,2,1,4,15,7,False
2025-11-23,2,1,3,15,6,False
2025-11-30,1,1,3,14,6,False
2025-12-07,1,1,3,13,8,False
2025-12-14,1,1,2,11,8,False
2025-12-21,1,0,2,9,5,False
2025-12-28,1,1,2,10,8,False
2026-01-04,1,1,2,11,6,False
2026-01-11,1,1,2,11,8,False
2026-01-18,1,1,3,12,11,False
2026-01-25,1,1,3,13,10,False
2026-02-01,1,1,3,11,13,False
2026-02-08,1,1,3,11,12,True
